iter	Passed	Remaining
0	149	149388
1	150	75008
2	150	50151
3	151	37711
4	152	30248
5	152	25263
6	153	21705
7	153	19039
8	154	16962
9	154	15300
10	155	13942
11	155	12809
12	156	11851
13	156	11030
14	157	10318
15	157	9695
16	158	9146
17	158	8661
18	159	8228
19	159	7836
20	160	7480
21	161	7157
22	161	6862
23	162	6590
24	162	6340
25	163	6109
26	163	5895
27	164	5697
28	164	5512
29	165	5339
30	165	5178
31	166	5025
32	166	4883
33	167	4749
34	167	4623
35	168	4503
36	168	4390
37	169	4284
38	169	4182
39	170	4086
40	170	3994
41	171	3907
42	171	3823
43	172	3744
44	172	3667
45	173	3598
46	174	3530
47	174	3464
48	175	3400
49	175	3338
50	176	3279
51	176	3222
52	177	3167
53	177	3113
54	178	3062
55	178	3013
56	179	2965
57	179	2919
58	180	2875
59	180	2832
60	181	2790
61	181	2750
62	182	2710
63	182	2673
64	183	2636
65	183	2601
66	184	2566
67	184	2533
68	185	2500
69	185	2468
70	186	2438
71	186	2408
72	187	2380
73	188	2353
74	188	2327
75	189	2301
76	189	2275
77	190	2249
78	190	2224
79	191	2200
80	191	2176
81	192	2153
82	192	2128
83	193	2106
84	193	2085
85	194	2064
86	194	2044
87	195	2023
88	195	2004
89	196	1984
90	196	1965
91	197	1947
92	197	1929
93	198	1911
94	198	1894
95	199	1877
96	199	1860
97	200	1844
98	200	1828
99	201	1813
100	202	1798
101	202	1784
102	203	1770
103	203	1755
104	204	1741
105	204	1727
106	205	1714
107	205	1701
108	206	1688
109	207	1675
110	207	1663
111	208	1651
112	208	1639
113	209	1627
114	209	1615
115	210	1604
116	211	1592
117	211	1581
118	212	1570
119	212	1560
120	213	1549
121	213	1538
122	214	1528
123	214	1518
124	215	1509
125	216	1502
126	217	1493
127	218	1485
128	218	1476
129	219	1467
130	219	1458
131	220	1449
132	221	1441
133	221	1432
134	222	1424
135	223	1417
136	223	1409
137	224	1401
138	224	1393
139	225	1385
140	226	1378
141	226	1370
142	227	1362
143	227	1355
144	228	1347
145	229	1340
146	229	1332
147	230	1325
148	230	1318
149	231	1312
150	232	1305
151	232	1298
152	233	1293
153	234	1287
154	234	1280
155	235	1274
156	236	1267
157	236	1261
158	237	1254
159	237	1248
